AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
31,Male,Undergraduate,Junior,Enrolled Full-Time,15,Syracuse University,0,8
40,Female,Undergraduate,Sophomore,Less than Half-Time,3,Syracuse University,0,2
21,Female,Undergraduate,Freshman,Enrolled Full-Time,12,Syracuse University,127.41,60
22,Female,Undergraduate,Freshman,Enrolled Full-Time,12,University College,1258.41,199
31,Male,Law,Law Evening - Year 4,Enrolled Full-Time,9,School of Law,81.65,16
29,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,13,College of Education,25.51,7
23,Female,Graduate,Graduate,Enrolled Full-Time,12,College of Health Professions,6.24,13
28,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,SUNY at Brockport,6.05,5
23,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,SUNY at Buffalo,4.55,8
24,Male,Undergraduate,Freshman,Three Quarter Time,9,SUNY at Brockport,0,1
23,Male,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Binghamton,9.41,12
22,Male,Undergraduate,Sophomore,Three Quarter Time,9,Syracuse University,0,1
34,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Business Administration,3.43,9
25,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Business Administration,2.62,13
46,Female,Undergraduate,Freshman,Enrolled Half-Time,7,SUNY at Brockport,8.9,39
16,Male,Undergraduate,Freshman,Enrolled Full-Time,18,Syracuse University,0,55
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,SUNY at Brockport,2.25,8
30,Male,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,6.8,3
19,Female,Undergraduate,Freshman,Enrolled Full-Time,15,SUNY at Brockport,0.35,5
26,Male,Undergraduate,Freshman,Enrolled Half-Time,7,University College,5.48,44
26,Male,Graduate,Graduate,Less than Half-Time,3,SUNY at Buffalo,27.91,7
19,Female,Undergraduate,Sophomore,Enrolled Full-Time,15,SUNY at Buffalo,1.1,2
21,Female,Undergraduate,Junior,Enrolled Full-Time,14,College of Health Professions,670.22,159
19,Male,Undergraduate,Freshman,Enrolled Full-Time,16,University College,1339.71,248
57,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,4,College of Health Professions,2.31,11
30,Female,Undergraduate,Junior,Enrolled Full-Time,17,SUNY at Buffalo,16.15,64
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,18,College of Education,0.84,4
19,Male,Undergraduate,Sophomore,Enrolled Full-Time,14,College of Engineering,425.06,205
37,Female,Law,Law Evening - Year 2,Enrolled Full-Time,9,School of Law,1.22,3
18,Male,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,868.72,104
18,Male,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,529.7,92
19,Male,Undergraduate,Sophomore,Enrolled Full-Time,20,SUNY at Buffalo,1170.61,176
20,Female,Undergraduate,Sophomore,Enrolled Half-Time,8,SUNY at Brockport,6.98,24
27,Male,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,177.02,172
33,Male,Law,Law Evening - Year 4,Enrolled Full-Time,9,School of Law,81.2,86
19,Male,Undergraduate,Sophomore,Enrolled Full-Time,15,Syracuse University,1.4,17
23,Female,Graduate,Graduate,Enrolled Full-Time,15,College of Health Professions,10.13,23
21,Female,Undergraduate,Sophomore,Three Quarter Time,10,SUNY at Brockport,935.72,122
20,Female,Undergraduate,Freshman,Enrolled Full-Time,12,Syracuse University,3.01,25
23,Female,Graduate,Graduate,Enrolled Full-Time,14,College of Health Professions,3.05,12
22,Male,Undergraduate,Senior,Three Quarter Time,9,SUNY at Buffalo,0.67,4
20,Female,Undergraduate,Sophomore,Enrolled Full-Time,15,Syracuse University,730.41,193
25,Male,Undergraduate,Freshman,Enrolled Full-Time,20,SUNY at Buffalo,421.82,97
19,Male,Undergraduate,Freshman,Enrolled Full-Time,13,University College,1.54,2
17,Male,Undergraduate,Sophomore,Enrolled Full-Time,17,Syracuse University,53.88,70
25,Male,Law,Law Day - Year 3,Enrolled Full-Time,15,School of Law,47.2,43
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,SUNY at Brockport,1276.22,249
18,Male,Undergraduate,Freshman,Enrolled Full-Time,12,Syracuse University,1067.18,106
19,Female,Undergraduate,Freshman,Enrolled Half-Time,6,SUNY at Brockport,3,19
19,Male,Undergraduate,Junior,Three Quarter Time,11,SUNY at Buffalo,0,21
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,Syracuse University,1607.39,281
21,Male,Undergraduate,Senior,Enrolled Full-Time,16,SUNY at Buffalo,3.11,6
22,Male,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,7,College of Business Administration,2.33,19
24,Male,Undergraduate,Senior,Enrolled Half-Time,8,University College,0.84,5
21,Female,Undergraduate,Junior,Enrolled Full-Time,16,College of Education,6.68,31
21,Female,Undergraduate,Freshman,Enrolled Half-Time,7,SUNY at Brockport,3.14,17
19,Female,Undergraduate,Sophomore,Enrolled Full-Time,14,College of Education,1310.7,130
18,Female,Undergraduate,Freshman,Enrolled Full-Time,15,University College,500.72,92
30,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,SUNY at Buffalo,3.2,5
18,Male,Undergraduate,Freshman,Enrolled Full-Time,16,University College,1004.15,56
28,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,18,College of Engineering,176.02,31
21,Female,Undergraduate,Sophomore,Three Quarter Time,9,Syracuse University,22.98,56
24,Female,Undergraduate,Freshman,Less than Half-Time,3,Syracuse University,35.2,14
47,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,4,College of Education,0.27,3
19,Male,Undergraduate,Freshman,Enrolled Half-Time,8,SUNY at Brockport,2.15,12
22,Male,Undergraduate,Freshman,Enrolled Full-Time,20,SUNY at Buffalo,301.86,76
20,Male,Undergraduate,Junior,Enrolled Full-Time,17,College of Health Professions,1333.49,136
32,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Business Administration,3,2
